AREA,N° CRUCE,INTERSECCIÓN,Controlador tipo,Centralizado ,Restan cambiar,En sistema,Conexión,Proyecto,Subárea,Edad
3,3401,Santa Fe Av.-Laprida,Siemens STC M4-20,SI,,Citar,,,,1
3,3402,Santa Fe Av.-Agüero,Siemens STC M4-20,SI,,Citar,,,,1
3,3403,Santa Fe Av.-Gallo / Austria,Siemens STC M4-20,SI,,Citar,,,,1
3,3404,Santa Fe Av.-Sánchez de Bustamante,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3405,Santa Fe Av.-Billinghurst,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3406,Santa Fe Av.-Díaz Cnel. Av.,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3407,Santa Fe Av.-Anasagasti,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3408,Santa Fe Av.-Bulnes,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3409,Santa Fe Av.-Vidt,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3410,Santa Fe Av.-Salguero Jerónimo,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3411,Santa Fe Av.-Alvarez Julián,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3412,Santa Fe Av.-Araoz,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3413,Santa Fe Av.-Scalabrini Ortiz Av.,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3414,Santa Fe Av.-Armenia,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3415,Charcas-Laprida,Siemens STC M4-20,SI,,Citar,,,,1
3,3416,Pacheco de Melo-Austria,Siemens STC M4-20,SI,,Citar,,,,1
3,3417,Salguero Jerónimo-Arenales,Siemens STC M4-20,SI,,Citar,,,,1
3,3418,Charcas-Araoz,Siemens STC M4-20,NO,,,,,,1
3,3419,Güemes-Alvarez Julián,Siemens STC M4-20,NO,,,,,,1
3,3420,Austria-Juncal,Siemens STC M4-20,SI,,Citar,,,,1
3,3421,Gallo-Güemes,Siemens STC M4-20,SI,,Citar,,,,1
3,3422,Gallo-Charcas,Siemens STC M4-20,SI,,Citar,,,,1
3,3423,Gallo-Mansilla,Siemens STC M4-20,SI,,Citar,,,,1
3,3424,Gallo-Paraguay,Siemens STC M4-20,SI,,Citar,,,,1
3,3425,Austria-Arenales,Siemens STC M4-20,SI,,Citar,,,,1
3,3426,Paraguay-Alvarez Julián,Siemens STC M4-20,SI,,Citar,,,,1
3,3427,Paraguay-Agüero,Siemens STC M4-20,SI,,Citar,,,,1
3,3428,Paraguay-Laprida,Siemens STC M4-20,SI,,Citar,,,,1
3,3429,Bulnes-Soler-El Salvador,Siemens STC M4-20,SI,,Citar,,,,1
3,3430,Díaz Cnel. Av.-Juncal,Siemens STC M4-20,SI,,Citar,,,,1
3,3431,Díaz Cnel. Av.-Beruti,Siemens STC M4-20,SI,,Citar,,,,1
3,3432,Díaz Cnel. Av.-Arenales,Siemens STC M4-20,SI,,Citar,,,,1
3,3433,Díaz Cnel. Av.-Güemes,Siemens STC M4-20,SI,,Citar,,,,1
3,3434,Díaz Cnel. Av.-Charcas,Siemens STC M4-20,SI,,Citar,,,,1
3,3435,Díaz Cnel. Av.-Paraguay,Siemens STC M4-20,SI,,Citar,,,,1
3,3436,Díaz Cnel. Av./Bravo Mario-Soler-Honduras,Siemens STC M4-20,SI,,Citar,,,,1
3,3437,Díaz Cnel. Av.-Mansilla Lucio Gral.,Siemens STC M4-20,SI,,Citar,,,,1
3,3438,Paraguay-Bulnes,Siemens STC M4-20,SI,,Citar,,,,1
3,3439,Paraguay-Sánchez de Bustamante,Siemens STC M4-20,SI,,Citar,,,,1
3,3440,Salguero Jerónimo-Soler-Costa Rica,Siemens STC M4-20,SI,,Citar,,,,1
3,3441,Salguero Jerónimo-Paraguay,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3442,Medrano Av.-Mansilla Lucio Gral.-Salguero J.,Siemens STC M4-20,SI,,Citar,,,,1
3,3443,Medrano Av.-Paraguay,Siemens STC M4-20,NO,,,,,,1
3,3444,Salguero Jerónimo-Charcas,Siemens STC M4-20,SI,,Citar,,,,1
